id,first_name,last_name,date_of_birth,sex,jmbg,country_id
1,Janie,Gromley,10/31/2013,F,3111508514246,1
2,Bowie,McDade,9/10/1961,M,0312697161874,1
3,Budd,Sommerlie,3/27/1976,M,1910220641129,4
4,Gypsy,Mellish,5/5/1929,F,0708731738456,4
5,Ellene,Goford,10/27/1971,F,0610377556097,3
6,Bertha,Blackhurst,12/24/1922,F,3104494121584,1
7,Amelita,Najara,7/19/1914,F,3109156100384,5
8,Merrile,Leopold,7/19/1927,F,2210018435551,3
9,Cull,Chalfant,8/1/2021,M,3104647076195,5
10,Taddeo,Mattke,6/11/1999,M,0712615276534,1
11,Bonnee,McCarlich,1/14/1941,F,0710035796724,3
12,Chickie,Chantillon,4/2/1913,M,2001821061663,5
13,Mersey,MacUchadair,3/27/1926,F,2506314923798,5
14,Darlene,Fisbey,6/6/1911,F,0509696106127,3
15,Horatio,Rapi,9/7/1918,M,1310612860374,5
16,Wolf,Bygraves,7/30/1989,M,2707044552438,6
17,Giraldo,Lundberg,12/26/1916,M,3112787626552,4
18,Leandra,Crowth,12/7/2002,F,0101740812051,3
19,Merill,Minthorpe,6/22/1984,M,1103163494911,3
20,Yves,Lemar,11/12/1911,M,0110665014231,2
21,Tedd,Loughhead,7/22/1948,M,2702634819366,1
22,Ewart,Sparham,10/22/1931,M,2109997303415,4
23,Lyle,Kears,2/24/2011,M,3105695742457,4
24,Myrvyn,Masedon,2/10/2015,M,0103209755391,3
25,Mitzi,Rexworthy,6/14/1981,F,3002921760218,2
26,Tara,Matzeitis,1/5/2017,F,0805500713212,5
27,Phil,Munehay,8/17/1954,M,2107673037298,3
28,Diarmid,Headley,3/19/1913,M,2203668022789,1
29,Pierce,Beyne,9/30/1978,M,3112128368609,6
30,Horatio,Quarles,9/2/1922,M,1805563074611,5
31,Dorolisa,Rossborough,3/12/1911,F,2404996777877,4
32,Connie,Vittore,2/28/1924,F,1312675677220,6
33,Vanya,Baber,9/11/1971,F,3010641484623,1
34,Ava,Goalley,11/21/2012,F,0910688553405,2
35,Miriam,Ingon,9/10/1933,F,3105651921239,3
36,Fitz,Rehme,9/7/1907,M,1702004714365,2
37,Drud,Gillson,2/22/1996,M,0512259688334,1
38,Corrine,Skerrett,10/22/1967,F,2707287279358,3
39,Grove,Ox,7/30/1988,M,2612612772852,3
40,Casey,Sparrow,7/15/1925,M,1107901516315,1
41,Bradford,Upston,3/27/1971,M,3008568070296,1
42,Leon,Garvie,2/17/1917,M,1610574129449,1
43,Murray,Perrat,5/11/1977,M,0210910271666,2
44,Dynah,Rigge,6/15/2012,F,0812977898834,5
45,Denny,Wagner,2/23/1902,M,0412372064534,1
46,Linc,Burgis,10/27/1995,M,2206481342265,5
47,Karlotte,Tasseler,7/10/1910,F,2806722582892,4
48,Wright,Bosanko,1/7/2018,M,2410564849986,1
49,Norine,Braxton,12/11/1976,F,0512633025281,2
50,Tonye,Tappin,6/3/2015,F,1012324465897,3
51,York,Dibbin,9/29/1910,M,3112185164993,4
52,Pebrook,Schollar,4/7/2023,M,3009175010517,4
53,Osborne,McSweeney,5/14/1996,M,3101955726965,2
54,Meir,MacArte,4/2/1957,M,1103782686485,4
55,Bobette,Hawick,12/17/1986,F,0703239733493,2
56,Ericha,Huetson,1/25/1917,F,0812338754916,6
57,Shandra,Fearnsides,8/8/1977,F,0412148731198,4
58,D'arcy,Beggan,2/28/1977,M,0104312322925,4
59,Tymothy,Meineking,11/26/1979,M,1812248877105,6
60,Asher,Pregal,10/6/1925,M,3012335093943,2
61,Stacey,Willatt,1/3/1980,F,3003918308588,2
62,Rozele,Balfe,1/23/1905,F,3108068290274,6
63,Siusan,Martinez,5/9/1980,F,1911379421769,2
64,Ashly,Verling,11/12/1900,F,3006598748242,1
65,Daryl,Getcliffe,12/7/1951,M,3111969572215,5
66,Ingaborg,Ranklin,5/10/1903,F,0411154321497,3
67,Ambrosio,Cheeke,6/25/2005,M,2701236274482,2
68,Irving,Tritten,8/30/1960,M,1808991334646,4
69,Horst,Caroline,5/10/2001,M,0609311718138,6
70,Jannelle,Oldis,7/26/1984,F,3004047507040,3
71,Dylan,Gammage,7/2/1927,M,0209548463606,5
72,Ulric,Le Batteur,8/8/1963,M,3004136199858,2
73,Stanleigh,Culwen,9/5/1942,M,3111732078265,1
74,Ethyl,Josefsen,6/9/1967,F,1611452524598,3
75,Rozamond,Forgan,9/4/1986,F,3007899336258,1
76,Lea,Danjoie,9/20/1985,F,0410113133847,4
77,Natasha,Balchin,12/29/1943,F,0710005345628,6
78,Filippa,Gobeaux,11/24/1988,F,0511731381156,6
79,Mylo,Skitch,6/30/1916,M,0902722697030,5
80,Agnella,De Beauchemp,3/1/1913,F,2405348254134,4
81,Odetta,Yitzhakov,9/22/1984,F,1411364186584,2
82,Elvira,Derry,6/28/1923,F,3012046141790,6
83,Goober,Hews,3/5/1959,M,3008300787680,6
84,Melody,Feldheim,2/6/1972,F,3112155688519,6
85,Blondy,Geroldi,4/10/1998,F,0410804292213,3
86,Isabella,Obispo,9/23/2009,F,2909297195207,5
87,Eudora,oldey,11/12/1960,F,3111728362366,3
88,Kean,State,4/9/2018,M,2102155170861,3
89,Aldus,Giannasi,4/26/1938,M,3011644686633,2
90,Ferd,Thewlis,5/19/1947,M,2805083751330,3
91,Dietrich,Sudy,8/30/1948,M,0710110973409,1
92,Paten,O' Faherty,6/2/2009,M,0601379736165,3
93,Lorie,Noades,4/21/1981,F,0907809321974,5
94,Angelika,Bovis,2/23/2008,F,0906797413787,1
95,Bernhard,Hustler,4/28/1939,M,0812294556260,3
96,Jozef,Cornick,9/7/1934,M,3108031768239,3
97,Rey,Stodd,10/4/1922,F,3112716724919,2
98,Chryste,McClinton,7/21/1941,F,0310493994713,4
99,Joshua,Leither,5/3/1985,M,0502291193829,6
100,Barbra,Ware,1/25/1926,F,2512265481067,1
101,Blondy,Somner,12/9/1973,F,0111855705646,4
102,Cesaro,Tunaclift,8/29/1910,M,0612686745154,3
103,Millicent,Hinge,12/19/1926,F,3012227350175,2
104,Bruno,Jankiewicz,3/5/1986,M,2810458355881,2
105,Asa,Eddison,2/19/1900,M,3002693459468,3
106,Ethan,Vanyushkin,7/1/1972,M,0712262507259,2
107,Malcolm,Skeleton,8/9/1911,M,3001503285955,1
108,Ewan,Tilbury,2/8/1976,M,1503615323971,6
109,Jennee,Plenty,8/29/1907,F,0106677599416,1
110,Morgana,Nappin,7/16/1944,F,3012791789671,3
111,Marga,Farrington,1/24/1960,F,0910848156056,3
112,Othello,Darch,5/17/2007,M,0311730844210,6
113,Adriena,Hanwell,9/15/1930,F,1202705276950,1
114,Fowler,Renzini,9/21/1900,M,0910216592381,3
115,Jessamyn,Liepins,10/27/1926,F,2205206913787,6
116,Lemuel,Clemencon,9/20/1954,M,3110984112646,2
117,Kaitlynn,Blain,9/24/2013,F,3011281059696,6
118,Sephira,Elkin,9/26/1904,F,0408763343613,2
119,Brier,Winterson,4/22/1913,F,0307335764195,1
120,Hardy,Mallya,5/28/2008,M,3107993409498,4
121,Fredia,Dawid,1/29/2009,F,0112773773686,4
122,Egor,Edland,2/3/1975,M,3008968520851,6
123,Florentia,Grissett,7/3/1954,F,0710360445606,6
124,Garrett,Moran,12/10/1928,M,1712205454527,5
125,Helaine,Gaddie,9/4/2000,F,0605607191066,2
126,Freda,Bennough,7/12/1928,F,1810963649096,6
127,Bernardo,Revey,7/3/1991,M,3108566094023,5
128,Stearn,Leall,12/23/1953,M,2707150487608,6
129,Emmye,Leare,8/7/1995,F,3004313309746,1
130,Steven,Raggles,7/11/2019,M,3011865255409,5
131,Ode,Thombleson,12/29/1966,M,0202877910409,5
132,Eadmund,Soppit,11/13/1936,M,0904583753269,6
133,Noella,Rickerd,9/20/1910,F,0411154664719,2
134,Aggy,Gunnell,1/26/1990,F,0303333160824,4
135,Keeley,Buttwell,5/8/1935,F,0109595658330,4
136,Maxim,Nemchinov,9/9/1970,M,0804297609758,2
137,Cathryn,O'Doghesty,2/5/1915,F,1304135234590,2
138,Tanya,Giffard,9/27/2001,F,3011259763719,4
139,Zebulen,Melarkey,11/30/2023,M,0511386115133,2
140,Bobbee,Harp,7/24/2020,F,0812948272839,2
141,Alicia,Drinkhill,5/12/1999,F,3110538892955,1
142,Dirk,Pinckstone,4/14/1943,M,0610083948238,2
143,Zea,Romanski,2/8/1996,F,1312189812872,3
144,Kyla,Woolfenden,3/17/1906,F,0512767469507,4
145,Nichole,Courtonne,9/4/1914,M,3106282046810,2
146,Rickie,Blemings,12/18/1976,M,0711964104139,5
147,Angela,Cuckson,3/10/1965,F,0211868304968,4
148,Lorilee,Pyburn,2/14/1991,F,3109283420150,4
149,Vikky,Hulbert,12/27/1971,F,0905583028881,6
150,Bibi,Isitt,5/10/1933,F,0901260503724,5
